Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Colombia,Colombia,1961,EFConsTotGHA,465303.144200077,5934965.04019877,4114164.46347084,612023.364002005,4471623.53791096,20938269.3500421,36536348.8998248,3A,CO
Colombia,Colombia,1962,EFConsTotGHA,526744.555133562,6375130.52037814,4173913.56167813,644581.49158994,4187611.83896178,21393515.7743612,37301497.7421027,3A,CO
Colombia,Colombia,1963,EFConsTotGHA,521605.57156492,7310399.91227256,3857929.23490046,565717.912902606,4151775.41015491,22106547.3505536,38513975.392349,3A,CO
Colombia,Colombia,1964,EFConsTotGHA,581361.635964467,7634431.53838233,4311488.12195824,537216.894022604,4173926.40366048,22253767.8132995,39492192.4072876,3A,CO
Colombia,Colombia,1965,EFConsTotGHA,562925.003242476,7603115.50585874,4470980.44906577,587818.322955148,4201293.72815384,22248445.6141883,39674578.6234642,3A,CO
Colombia,Colombia,1966,EFConsTotGHA,639300.366736043,8375567.92185362,4943930.37949732,615803.277203504,4387503.17186403,23025178.2590747,41987283.3762292,3A,CO
Colombia,Colombia,1967,EFConsTotGHA,634560.185928075,8443377.61398554,4357881.52056172,555355.806194975,4464813.05343594,23905447.2208043,42361435.4009105,3A,CO
Colombia,Colombia,1968,EFConsTotGHA,732965.628593258,9468500.20386549,4833039.32513666,483506.829328044,4618880.27334041,24967065.0619485,45103957.3222124,3A,CO
Colombia,Colombia,1969,EFConsTotGHA,736087.449773799,9920306.16106418,4777260.00354014,489024.069285865,4463232.405379,25424365.5820494,45810275.6710923,3A,CO
Colombia,Colombia,1970,EFConsTotGHA,820840.513205935,10285469.513043,5132990.53804348,464945.114326221,4469014.8994147,26000074.9708764,47173335.5489098,3A,CO
Colombia,Colombia,1971,EFConsTotGHA,824053.97815931,11238379.9749492,5599679.0725144,443784.651926797,4498035.09014821,26613386.8702542,49217319.637952,3A,CO
Colombia,Colombia,1972,EFConsTotGHA,859162.737007605,11254577.7762003,5508506.91080579,640275.089471821,4994294.21148462,27016078.4745091,50272895.1994792,3A,CO
Colombia,Colombia,1973,EFConsTotGHA,947764.147011153,12175730.0368617,5949910.19592957,647301.423338153,4994451.47207335,27394908.7206145,52110065.9958285,3A,CO
Colombia,Colombia,1974,EFConsTotGHA,975369.819260848,12922945.8507627,6339497.93176452,555566.701178882,4722977.70084065,26879269.5408581,52395627.5446657,3A,CO
Colombia,Colombia,1975,EFConsTotGHA,1065470.04180729,11625359.803461,5930920.11996975,574784.918302295,4697235.21072465,27930304.0146349,51824074.1088999,3A,CO
Colombia,Colombia,1976,EFConsTotGHA,1136182.76229324,12360187.6457118,6814021.59453804,546626.009485445,4689437.89600121,28974149.6065647,54520605.5145944,3A,CO
Colombia,Colombia,1977,EFConsTotGHA,1186201.52452664,13551587.2068609,7468317.37531227,478415.119019747,4702809.72477771,30449855.9176027,57837186.8681,3A,CO
Colombia,Colombia,1978,EFConsTotGHA,1355790.7311713,14850034.9944265,7975858.11333606,660615.213706221,4730805.76984559,30461099.8485088,60034204.6709944,3A,CO
Colombia,Colombia,1979,EFConsTotGHA,1397137.36634079,15238680.7342363,7408432.87185419,915160.203119011,5095108.1843234,30084153.6033037,60138672.9631774,3A,CO
Colombia,Colombia,1980,EFConsTotGHA,1449586.27956446,15938283.5984157,7996587.60248998,822389.6295004,5050442.75946858,30652257.5333192,61909547.4027583,3A,CO
Colombia,Colombia,1981,EFConsTotGHA,1433565.71265923,15499251.0554872,8065236.34358579,885170.748535784,5184927.22192605,30893663.8924965,61961814.9746906,3A,CO
Colombia,Colombia,1982,EFConsTotGHA,1505006.80862416,15629585.6369127,8707889.65362277,862769.117936791,4957078.14549603,30824501.0086248,62486830.3712173,3A,CO
Colombia,Colombia,1983,EFConsTotGHA,1513393.08945705,16101240.968493,9144317.43517959,593212.338822427,4940679.21307774,31906676.3560584,64199519.4010882,3A,CO
Colombia,Colombia,1984,EFConsTotGHA,1627158.60900106,16274590.3925223,8578584.48751161,901814.525101149,5141462.73563292,31245703.6377713,63769314.3875404,3A,CO
Colombia,Colombia,1985,EFConsTotGHA,1560984.13627999,16977645.6288541,8114227.84223151,610950.995178093,5261520.48484703,31177085.5996866,63702414.6870774,3A,CO
Colombia,Colombia,1986,EFConsTotGHA,1742934.73047592,17057581.0885009,8325357.75620826,651557.828677056,5592578.92000526,31271780.5077173,64641790.8315846,3A,CO
