year;Built-up Land;Carbon;Cropland;Fishing Grounds;Forest Products;Grazing Land;;;
1961; 4.653.031 ; 5.934.965 ; 4.114.164 ; 6.120.234 ; 4.471.624 ; 2.093.827 ;;;
1962; 5.267.446 ; 6.375.131 ; 4.173.914 ; 644.581 ; 4.187.612 ; 2.139.352 ;;;
1963; 521.606 ; 7.310.400 ; 3.857.929 ; 5.657.179 ; 4.151.775 ; 2.210.655 ;;;
1964; 5.813.616 ; 7.634.432 ; 4.311.488 ; 5.372.169 ; 4.173.926 ; 2.225.377 ;;;
1965; 5.629.250 ; 7.603.116 ; 4.470.980 ; 5.878.183 ; 4.201.294 ; 2.224.845 ;;;
1966; 6.393.004 ; 8.375.568 ; 4.943.930 ; 6.158.033 ; 4.387.503 ; 2.302.518 ;;;
1967; 6.345.602 ; 8.443.378 ; 4.357.882 ; 5.553.558 ; 4.464.813 ; 2.390.545 ;;;
1968; 7.329.656 ; 9.468.500 ; 4.833.039 ; 4.835.068 ; 4.618.880 ; 2.496.707 ;;;
1969; 7.360.874 ; 9.920.306 ; 4.777.260 ; 4.890.241 ; 44.632 ; 2.542.437 ;;;
1970; 8.208.405 ; 102.855 ; 5.132.991 ; 4.649.451 ; 446.901 ; 2.600.007 ;;;
1971; 824.054 ; 1.123.838 ; 559.968 ; 4.437.847 ; 4.498.035 ; 2.661.339 ;;;
1972; 8.591.627 ; 1.125.458 ; 5.508.507 ; 6.402.751 ; 4.994.294 ; 2.701.608 ;;;
1973; 9.477.641 ; 1.217.573 ; 5.949.910 ; 6.473.014 ; 4.994.451 ; 2.739.491 ;;;
1974; 9.753.698 ; 1.292.295 ; 6.339.498 ; 5.555.667 ; 4.722.978 ; 2.687.927 ;;;
1975; 1.065.470 ; 116.254 ; 5.930.920 ; 5.747.849 ; 4.697.235 ; 2.793.030 ;;;
1976; 1.136.183 ; 1.236.019 ; 6.814.022 ; 5.466.260 ; 4.689.438 ; 2.897.415 ;;;
1977; 1.186.202 ; 1.355.159 ; 7.468.317 ; 4.784.151 ; 4.702.810 ; 3.044.986 ;;;
1978; 135.579 ; 1.485.003 ; 7.975.858 ; 6.606.152 ; 4.730.806 ; 3.046.110 ;;;
1979; 1.397.137 ; 1.523.868 ; 7.408.433 ; 9.151.602 ; 509.511 ; 3.008.415 ;;;
1980; 1.449.586 ; 1.593.828 ; 7.996.588 ; 82.239 ; 5.050.443 ; 3.065.226 ;;;
1981; 1.433.566 ; 1.549.925 ; 8.065.236 ; 8.851.707 ; 5.184.927 ; 3.089.366 ;;;
1982; 1.505.007 ; 1.562.959 ; 8.707.890 ; 8.627.691 ; 4.957.078 ; 3.082.450 ;;;
1983; 1.513.393 ; 161.012 ; 9.144.317 ; 5.932.123 ; 4.940.679 ; 3.190.668 ;;;
1984; 1.627.159 ; 1.627.459 ; 8.578.584 ; 9.018.145 ; 5.141.463 ; 3.124.570 ;;;
1985; 1.560.984 ; 1.697.765 ; 8.114.228 ; 6.109.510 ; 5.261.520 ; 3.117.709 ;;;
1986; 1.742.935 ; 1.705.758 ; 8.325.358 ; 6.515.578 ; 5.592.579 ; 3.127.178 ;;;
1987; 1.731.356 ; 1.744.705 ; 8.711.525 ; 4.754.427 ; 5.555.501 ; 3.161.033 ;;;
1988; 1.879.315 ; 1.858.085 ; 9.451.890 ; 5.314.335 ; 5.750.261 ; 3.205.407 ;;;
1989; 1.993.833 ; 1.891.336 ; 8.885.231 ; 3.518.873 ; 5.756.871 ; 3.203.939 ;;;
1990; 238.806 ; 1.925.977 ; 9.713.870 ; 5.013.229 ; 5.726.426 ; 3.134.853 ;;;
1991; 2.540.873 ; 1.912.941 ; 9.910.530 ; 4.663.723 ; 5.802.643 ; 3.077.097 ;;;
1992; 2.564.695 ; 2.140.033 ; 1.044.688 ; 5.097.659 ; 5.419.604 ; 3.248.370 ;;;
1993; 2.454.797 ; 2.316.581 ; 1.034.705 ; 776.061 ; 5.475.094 ; 336.316 ;;;
1994; 2.391.110 ; 2.392.998 ; 1.131.585 ; 9.546.066 ; 5.523.591 ; 3.421.203 ;;;
1995; 2.718.847 ; 2.471.044 ; 1.227.253 ; 1.284.067 ; 5.442.111 ; 339.917 ;;;
1996; 2.798.150 ; 2.404.030 ; 1.217.937 ; 1.243.363 ; 5.494.124 ; 3.439.834 ;;;
1997; 2.746.004 ; 259.272 ; 1.211.145 ; 119.759 ; 5.617.814 ; 337.724 ;;;
1998; 2.667.074 ; 2.529.197 ; 1.238.333 ; 1.037.830 ; 5.937.092 ; 3.341.030 ;;;
1999; 2.734.642 ; 2.127.086 ; 1.190.451 ; 9.017.898 ; 594.778 ; 3.216.453 ;;;
2000; 2.735.494 ; 2.218.115 ; 1.294.291 ; 1.028.761 ; 736.224 ; 322.787 ;;;
2001; 3.143.263 ; 2.247.089 ; 1.346.398 ; 1.126.368 ; 6.369.934 ; 3.234.499 ;;;
2002; 35.883 ; 223.595 ; 1.394.815 ; 1.138.205 ; 6.301.404 ; 3.255.160 ;;;
2003; 3.833.534 ; 2.275.914 ; 1.402.916 ; 1.746.588 ; 6.454.627 ; 3.208.231 ;;;
2004; 4.053.352 ; 2.333.575 ; 1.424.169 ; 1.193.452 ; 5.846.602 ; 306.277 ;;;
2005; 4.055.624 ; 244.292 ; 1.381.300 ; 1.516.468 ; 6.334.438 ; 3.190.586 ;;;
2006; 430.969 ; 2.569.625 ; 1.493.277 ; 1.614.567 ; 6.098.347 ; 3.141.078 ;;;
2007; 4.242.645 ; 2.657.032 ; 1.497.173 ; 1.581.263 ; 6.126.054 ; 3.135.071 ;;;
2008; 4.321.328 ; 2.676.848 ; 1.467.297 ; 1.519.713 ; 6.651.352 ; 3.051.655 ;;;
2009; 4.202.001 ; 2.623.744 ; 150.693 ; 1.535.571 ; 7.384.817 ; 3.128.581 ;;;
2010; 414.667 ; 2.845.994 ; 1.600.038 ; 1.524.154 ; 7.185.796 ; 3.431.470 ;;;
2011; 4.098.679 ; 3.074.071 ; 1.607.518 ; 1.657.019 ; 7.374.746 ; 3.089.900 ;;;
2012; 4.261.959 ; 3.048.843 ; 1.751.254 ; 1.513.600 ; 7.781.321 ; 2.600.219 ;;;
2013; 4.676.433 ; 3.365.716 ; 1.738.093 ; 1.801.826 ; 778.734 ; 2.448.404 ;;;
2014; 4.738.656 ; 3.484.402 ; 1.772.940 ; 1.928.937 ; 763.883 ; 257.718 ;;;
2015; 4.991.689 ; 3.512.878 ; 1.884.060 ; 1.855.627 ; 7.309.073 ; 25.729 ;;;
2016; 5.085.618 ; 3.641.654 ; 2.003.153 ; 2.024.665 ; 630.181 ; 2.631.054 ;;;
2017; 1.775.123 ; 3.210.075 ; 1.802.025 ; 2.101.961 ; 6.065.182 ; 2.832.821 ;;;
2018; 1.798.794 ; 3.335.775 ; 1.887.379 ; 2.031.097 ; 5.682.817 ; 3.045.776 ;;;
